user_pseudo_id,first_date,segment_72h,search_72h,view_item_72h,scroll_72h,add_to_cart_72h,begin_checkout_72h,purchase_72h,sessions_72h,view_item_events_72h,retained_post72h_d30
84678471.4096212325,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
84779364.1874549727,2020-12-27,low_engagement_72h,0,0,1,0,0,0,3,0,0
85385410.5487959739,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
85735935.1390239217,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
85926163.6444289304,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,3,0
86325588.0155212468,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
86666015.8913760235,2020-12-27,low_engagement_72h,0,0,1,0,0,0,2,0,0
87080676.4228901360,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
87192145.5074933399,2020-12-27,searcher_only_72h,1,0,1,0,0,0,1,0,0
87447348.1474878772,2020-12-27,low_engagement_72h,0,0,0,0,0,0,2,0,0
88098043.0939089140,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
88330598.9230348365,2020-12-27,searcher_only_72h,1,0,0,0,0,0,1,0,0
88865252.8681479852,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
88924898.9328700067,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
90088586.2428259336,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
90379838.8896698843,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
90587256.6810092697,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
91058688.4230423848,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
91740723.3429121736,2020-12-24,product_viewer_scroll_72h,0,1,1,0,0,0,2,6,1
94362274.4511303828,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
96162114.6709495639,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
417258897.9984953808,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
1129814527.3452810784,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
1873840324.4404297176,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
